date, high, low, open, close, volume, quoteVolume, weightedAverage
1443067200, 0.8875, 0.8875, 0.8875, 0.8875, 4.4375, 5, 0.8875
1443081600, 0.87503093, 0.87503093, 0.87503093, 0.87503093, 0.000175, 0.0002, 0.87503093
1443096000, 0.87503093, 0.83, 0.87503093, 0.83, 304.04946112, 361.57778054, 0.84089641
1443110400, 0.875, 0.875, 0.875, 0.875, 8.75, 10, 0.875
1443124800, 0.845, 0.845, 0.845, 0.845, 8.45, 10, 0.845
1443139200, 0.845, 0.845, 0.845, 0.845, 0, 0, 0.845
1443153600, 0.81899999, 0.80216499, 0.81899999, 0.80216499, 152.66910881, 190.32112143, 0.80216587
1443168000, 0.80216499, 0.80216499, 0.80216499, 0.80216499, 0, 0, 0.80216499
1443182400, 0.7000001, 0.70000007, 0.70000007, 0.7000001, 1.20715015, 1.7245, 0.70000008
1443196800, 0.8, 0.79999999, 0.8, 0.79999999, 1.08453179, 1.35566474, 0.79999999
1443211200, 0.79999999, 0.79999999, 0.79999999, 0.79999999, 0, 0, 0.79999999
1443225600, 0.6999999, 0.6999999, 0.6999999, 0.6999999, 14.22399796, 20.32, 0.6999999
1443240000, 0.6999999, 0.6999999, 0.6999999, 0.6999999, 0, 0, 0.6999999
1443254400, 0.6999999, 0.6999999, 0.6999999, 0.6999999, 0, 0, 0.6999999
1443268800, 0.685, 0.685, 0.685, 0.685, 0.15052085, 0.21973848, 0.685
1443283200, 0.75000001, 0.71999999, 0.73295099, 0.72, 0.85168302, 1.16261914, 0.73255548
1443297600, 0.78, 0.68500003, 0.76899998, 0.69000001, 40.65231187, 53.58186179, 0.75869539
1443312000, 0.78, 0.69000001, 0.78, 0.69000001, 8.09269595, 10.49977338, 0.77074958
